id,name,district_id,status,created_at,updated_at
282,Thuli Bheri,61,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
283,Tikapur,69,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
284,Tilagufa,64,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
285,Tilottama,49,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
286,Tokha,28,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
287,Tribeni,73,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
288,Tripura Sundari,61,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
289,Triyuga,14,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
290,Tulsipur,53,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
291,Urlabari,6,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
292,Vyas,46,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
293,Waling,45,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
294,Hatuwagadhi,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
295,Ramprasad Rai,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
